# SimpleSim Simulation Results - 20250624_225042
# Generated: 2025-06-24 22:50:42
# Economic Parameters: Working Hours=166.4, Absence=16.0%, Utilization=85.0%, Employment Cost Rate=40.0%, Other Expense=19,000,000 SEK/month

=== OFFICE SUMMARY ===
Office;Year;Total FTE;Consultants;Total Hours;Avg Price;Revenue (SEK);Salary Cost (SEK);Employment Cost (SEK);EBITDA (SEK);Margin (%)
Helsinki;2025-2;138;114;0;12;13
Helsinki;2025-3;143;119;0;12;12
Helsinki;2025-4;148;123;0;13;12
Helsinki;2025-5;155;130;0;13;14
Helsinki;2025-6;161;136;0;13;13
Helsinki;2025-7;170;143;0;14;17
Helsinki;2025-8;179;151;0;15;17
Helsinki;2025-9;187;158;0;16;16
Helsinki;2025-10;194;165;0;16;15
Helsinki;2025-11;204;173;0;16;20
Helsinki;2025-12;216;182;0;18;23
Oslo;2025-1;125;98;0;13;10
Oslo;2025-2;130;103;0;13;13
Oslo;2025-3;134;107;0;13;12
Oslo;2025-4;139;112;0;13;13
Oslo;2025-5;147;119;0;14;16
Oslo;2025-6;152;124;0;14;13
Oslo;2025-7;162;131;0;16;19
Oslo;2025-8;167;136;0;16;14
Oslo;2025-9;177;144;0;17;20
Oslo;2025-10;184;151;0;17;17
Oslo;2025-11;192;158;0;18;18
Oslo;2025-12;203;166;0;20;22
Berlin;2025-1;108;84;0;14;7
Berlin;2025-2;113;89;0;14;11
Berlin;2025-3;117;93;0;14;10
Berlin;2025-4;122;98;0;14;11
Berlin;2025-5;129;104;0;15;13
Berlin;2025-6;133;108;0;15;10
Berlin;2025-7;140;114;0;16;13
Berlin;2025-8;145;119;0;16;11
Berlin;2025-9;152;125;0;17;13
Berlin;2025-10;158;131;0;17;12
Berlin;2025-11;171;138;0;20;22
Berlin;2025-12;177;144;0;20;15
Copenhagen;2025-1;94;74;0;10;7
Copenhagen;2025-2;98;78;0;10;10
Copenhagen;2025-3;101;81;0;10;9
Copenhagen;2025-4;105;85;0;10;10
Copenhagen;2025-5;109;89;0;10;10
Copenhagen;2025-6;114;94;0;10;11
Copenhagen;2025-7;120;99;0;11;12
Copenhagen;2025-8;124;103;0;11;10
Copenhagen;2025-9;130;109;0;11;12
Copenhagen;2025-10;135;114;0;11;11
Copenhagen;2025-11;145;120;0;13;18
Copenhagen;2025-12;153;127;0;14;16
Zurich;2025-1;42;33;0;6;2
Zurich;2025-2;43;34;0;6;3
Zurich;2025-3;44;35;0;6;3
Zurich;2025-4;46;37;0;6;4
Zurich;2025-5;48;39;0;6;4
Zurich;2025-6;48;39;0;6;3
Zurich;2025-7;50;41;0;6;4
Zurich;2025-8;52;43;0;6;4
Zurich;2025-9;55;46;0;6;5
Zurich;2025-10;57;48;0;6;4
Zurich;2025-11;62;50;0;8;8
Zurich;2025-12;65;53;0;8;6
Frankfurt;2025-1;26;19;0;5;2
Frankfurt;2025-2;26;19;0;5;2
Frankfurt;2025-3;26;19;0;5;2
Frankfurt;2025-4;27;20;0;5;3
Frankfurt;2025-5;30;23;0;5;5
Frankfurt;2025-6;30;23;0;5;2
Frankfurt;2025-7;30;23;0;5;2
Frankfurt;2025-8;31;24;0;5;3
Frankfurt;2025-9;34;26;0;6;5
Frankfurt;2025-10;35;27;0;6;3
Frankfurt;2025-11;36;28;0;6;3
Frankfurt;2025-12;37;29;0;6;3
Amsterdam;2025-1;22;13;0;6;3
Amsterdam;2025-2;22;13;0;6;3
Amsterdam;2025-3;22;13;0;6;3
Amsterdam;2025-4;22;13;0;6;3
Amsterdam;2025-5;23;14;0;6;4
Amsterdam;2025-6;23;14;0;6;3
Amsterdam;2025-7;23;14;0;6;3
Amsterdam;2025-8;24;15;0;6;4
Amsterdam;2025-9;26;17;0;6;5
Amsterdam;2025-10;26;17;0;6;3
Amsterdam;2025-11;26;17;0;6;3
Amsterdam;2025-12;27;18;0;6;4
Cologne;2025-1;22;16;0;4;2
Cologne;2025-2;22;16;0;4;2
Cologne;2025-3;22;16;0;4;2
Cologne;2025-4;22;16;0;4;2
Cologne;2025-5;23;17;0;4;3
Cologne;2025-6;23;17;0;4;2
Cologne;2025-7;27;20;0;5;6
Cologne;2025-8;27;20;0;5;2
Cologne;2025-9;28;21;0;5;3
Cologne;2025-10;28;21;0;5;2
Cologne;2025-11;29;22;0;5;3
Cologne;2025-12;33;25;0;6;6
Toronto;2025-1;5;5;0;0;0
Toronto;2025-2;5;5;0;0;0
Toronto;2025-3;5;5;0;0;0
Toronto;2025-4;5;5;0;0;0
Toronto;2025-5;5;5;0;0;0
Toronto;2025-6;5;5;0;0;0
Toronto;2025-7;5;5;0;0;0
Toronto;2025-8;5;5;0;0;0
Toronto;2025-9;5;5;0;0;0
Toronto;2025-10;5;5;0;0;0
Toronto;2025-11;5;5;0;0;0
Toronto;2025-12;5;5;0;0;0
NonExistent;2025-1;0;0;0;0;0
NonExistent;2025-2;0;0;0;0;0
NonExistent;2025-3;0;0;0;0;0
NonExistent;2025-4;0;0;0;0;0
NonExistent;2025-5;0;0;0;0;0
NonExistent;2025-6;0;0;0;0;0
NonExistent;2025-7;0;0;0;0;0
NonExistent;2025-8;0;0;0;0;0
NonExistent;2025-9;0;0;0;0;0
NonExistent;2025-10;0;0;0;0;0
NonExistent;2025-11;0;0;0;0;0
NonExistent;2025-12;0;0;0;0;0
