# SimpleSim Simulation Results - 20250624_224358
# Generated: 2025-06-24 22:43:58
# Economic Parameters: Working Hours=166.4, Absence=16.0%, Utilization=85.0%, Employment Cost Rate=40.0%, Other Expense=19,000,000 SEK/month

=== OFFICE SUMMARY ===
Office,Year,Total FTE,Consultants,Total Hours,Avg Price,Revenue (SEK),Salary Cost (SEK),Employment Cost (SEK),EBITDA (SEK),Margin (%)
Hamburg,2025-10,248,0,0,0,0
Hamburg,2025-11,261,0,0,0,0
Hamburg,2025-12,275,0,0,0,0
Helsinki,2025-1,131,0,0,0,0
Helsinki,2025-2,137,0,0,0,0
Helsinki,2025-3,142,0,0,0,0
Helsinki,2025-4,148,0,0,0,0
Helsinki,2025-5,157,0,0,0,0
Helsinki,2025-6,161,0,0,0,0
Helsinki,2025-7,169,0,0,0,0
Helsinki,2025-8,178,0,0,0,0
Helsinki,2025-9,186,0,0,0,0
Helsinki,2025-10,194,0,0,0,0
Helsinki,2025-11,207,0,0,0,0
Helsinki,2025-12,216,0,0,0,0
Oslo,2025-1,125,0,0,0,0
Oslo,2025-2,129,0,0,0,0
Oslo,2025-3,134,0,0,0,0
Oslo,2025-4,139,0,0,0,0
Oslo,2025-5,147,0,0,0,0
Oslo,2025-6,150,0,0,0,0
Oslo,2025-7,161,0,0,0,0
Oslo,2025-8,166,0,0,0,0
Oslo,2025-9,176,0,0,0,0
Oslo,2025-10,183,0,0,0,0
Oslo,2025-11,193,0,0,0,0
Oslo,2025-12,201,0,0,0,0
Berlin,2025-1,110,0,0,0,0
Berlin,2025-2,114,0,0,0,0
Berlin,2025-3,119,0,0,0,0
Berlin,2025-4,124,0,0,0,0
Berlin,2025-5,129,0,0,0,0
Berlin,2025-6,135,0,0,0,0
Berlin,2025-7,144,0,0,0,0
Berlin,2025-8,150,0,0,0,0
Berlin,2025-9,156,0,0,0,0
Berlin,2025-10,163,0,0,0,0
Berlin,2025-11,171,0,0,0,0
Berlin,2025-12,181,0,0,0,0
Copenhagen,2025-1,94,0,0,0,0
Copenhagen,2025-2,98,0,0,0,0
Copenhagen,2025-3,101,0,0,0,0
Copenhagen,2025-4,105,0,0,0,0
Copenhagen,2025-5,109,0,0,0,0
Copenhagen,2025-6,113,0,0,0,0
Copenhagen,2025-7,120,0,0,0,0
Copenhagen,2025-8,124,0,0,0,0
Copenhagen,2025-9,130,0,0,0,0
Copenhagen,2025-10,135,0,0,0,0
Copenhagen,2025-11,143,0,0,0,0
Copenhagen,2025-12,151,0,0,0,0
Zurich,2025-1,41,0,0,0,0
Zurich,2025-2,42,0,0,0,0
Zurich,2025-3,43,0,0,0,0
Zurich,2025-4,45,0,0,0,0
Zurich,2025-5,47,0,0,0,0
Zurich,2025-6,48,0,0,0,0
Zurich,2025-7,51,0,0,0,0
Zurich,2025-8,53,0,0,0,0
Zurich,2025-9,55,0,0,0,0
Zurich,2025-10,58,0,0,0,0
Zurich,2025-11,61,0,0,0,0
Zurich,2025-12,64,0,0,0,0
Frankfurt,2025-1,27,0,0,0,0
Frankfurt,2025-2,27,0,0,0,0
Frankfurt,2025-3,27,0,0,0,0
Frankfurt,2025-4,28,0,0,0,0
Frankfurt,2025-5,30,0,0,0,0
Frankfurt,2025-6,30,0,0,0,0
Frankfurt,2025-7,32,0,0,0,0
Frankfurt,2025-8,32,0,0,0,0
Frankfurt,2025-9,35,0,0,0,0
Frankfurt,2025-10,36,0,0,0,0
Frankfurt,2025-11,37,0,0,0,0
Frankfurt,2025-12,38,0,0,0,0
Amsterdam,2025-1,22,0,0,0,0
Amsterdam,2025-2,22,0,0,0,0
Amsterdam,2025-3,22,0,0,0,0
Amsterdam,2025-4,22,0,0,0,0
Amsterdam,2025-5,23,0,0,0,0
Amsterdam,2025-6,23,0,0,0,0
Amsterdam,2025-7,23,0,0,0,0
Amsterdam,2025-8,24,0,0,0,0
Amsterdam,2025-9,25,0,0,0,0
Amsterdam,2025-10,25,0,0,0,0
Amsterdam,2025-11,29,0,0,0,0
Amsterdam,2025-12,29,0,0,0,0
Cologne,2025-1,22,0,0,0,0
Cologne,2025-2,22,0,0,0,0
Cologne,2025-3,22,0,0,0,0
Cologne,2025-4,22,0,0,0,0
Cologne,2025-5,23,0,0,0,0
Cologne,2025-6,22,0,0,0,0
Cologne,2025-7,25,0,0,0,0
Cologne,2025-8,25,0,0,0,0
Cologne,2025-9,26,0,0,0,0
Cologne,2025-10,26,0,0,0,0
Cologne,2025-11,28,0,0,0,0
Cologne,2025-12,31,0,0,0,0
Toronto,2025-1,5,0,0,0,0
Toronto,2025-2,5,0,0,0,0
Toronto,2025-3,5,0,0,0,0
Toronto,2025-4,5,0,0,0,0
Toronto,2025-5,5,0,0,0,0
Toronto,2025-6,5,0,0,0,0
Toronto,2025-7,5,0,0,0,0
Toronto,2025-8,5,0,0,0,0
Toronto,2025-9,5,0,0,0,0
Toronto,2025-10,5,0,0,0,0
Toronto,2025-11,5,0,0,0,0
Toronto,2025-12,5,0,0,0,0
NonExistent,2025-1,0,0,0,0,0
NonExistent,2025-2,0,0,0,0,0
NonExistent,2025-3,0,0,0,0,0
NonExistent,2025-4,0,0,0,0,0
NonExistent,2025-5,0,0,0,0,0
NonExistent,2025-6,0,0,0,0,0
NonExistent,2025-7,0,0,0,0,0
NonExistent,2025-8,0,0,0,0,0
NonExistent,2025-9,0,0,0,0,0
NonExistent,2025-10,0,0,0,0,0
NonExistent,2025-11,0,0,0,0,0
NonExistent,2025-12,0,0,0,0,0
